caseNum,date,confidence,species,age,pathogen,numFish,fish,numPositive,prevalence,comments,location,latitude,longitude
C87-016A,11/2/07,High,COHO,adult,IHN,17,TRUE,8,0.470588235,,"Trinity River, California",41.184532,-123.706795
C87-016B,11/2/07,High,CHIN,adult,IHN,3,TRUE,1,0.333333333,,"Trinity River, California",41.184532,-123.706795
C87-017,11/30/07,High,NR,adult,IHN,6,FALSE,4,0.666666667,sn Ab type 1,"Hoopa Fisheries, California",37.25510025,-119.6175232
C87-018,11/2/07,High,NR,adult,IHN,3,FALSE,3,1,,"Hoopa Fisheries, California",37.25510025,-119.6175232
C87-019A,11/3/07,High,BN,adult,,50,TRUE,0,0,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C87-019B,11/3/07,High,BN,adult,,20,TRUE,0,0,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C87-020,11/3/07,High,RT,NR,,30,TRUE,0,0,,"Desert Springs, California",37.25510025,-119.6175232
C87-021,11/5/07,High,CHIN,adult,IHN,26,TRUE,19,0.730769231,,"Trinity River, California",41.184532,-123.706795
C87-022,11/5/07,High,KOK,adult,,4,TRUE,0,0,,"Trinity River, California",41.184532,-123.706795
C87-023,11/5/07,High,CHIN,yearling,,6,TRUE,0,0,,"Trinity River, California",41.184532,-123.706795
C87-024,11/4/07,High,NR,NR,IHN,2,TRUE,2,1,,"Hoopa Fisheries, California",37.25510025,-119.6175232
C87-025A,11/9/07,High,COHO,adult,IHN,30,TRUE,4,0.133333333,,"Trinity River, California",41.184532,-123.706795
C87-025B,11/9/07,High,COHO,adult,,30,TRUE,0,0,,"Trinity River, California",41.184532,-123.706795
C87-025C,11/9/07,High,COHO,adult,IHN,30,TRUE,1,0.033333333,,"Trinity River, California",41.184532,-123.706795
C87-025D,11/9/07,High,CHIN,adult,IHN,20,TRUE,19,0.95,,"Trinity River, California",41.184532,-123.706795
C87-025E,11/9/07,High,CHIN,adult,IHN,20,TRUE,14,0.7,,"Trinity River, California",41.184532,-123.706795
C87-025F,11/9/07,High,CHIN,adult,IHN,20,TRUE,8,0.4,,"Trinity River, California",41.184532,-123.706795
C87-026,11/6/07,High,NR,adult,IHN,2,FALSE,2,1,,"Hoopa Fisheries, California",37.25510025,-119.6175232
C87-027,11/7/07,High,NR,adult,IHN,3,FALSE,2,0.666666667,,"Hoopa Fisheries, California",37.25510025,-119.6175232
C87-028,11/10/07,High,NR,adult,IHN,4,FALSE,4,1,,"Hoopa Fisheries, California",37.25510025,-119.6175232
C87-029,11/11/07,High,AS,NR,,60,TRUE,0,0,,"Silverking, California",38.06393814,-121.4356689
C87-030A,11/13/07,High,COHO,adult,IHN,20,TRUE,19,0.95,,"Trinity River, California",41.184532,-123.706795
C87-030B,11/13/07,High,CHIN,adult,IHN,19,TRUE,18,0.947368421,,"Trinity River, California",41.184532,-123.706795
C87-030C,11/13/07,High,KOK,adult,IHN,12,TRUE,5,0.416666667,,"Trinity River, California",41.184532,-123.706795
C87-031,11/11/08,High,NR,adult,IHN,5,FALSE,5,1,,"Hoopa Fisheries, California",37.25510025,-119.6175232
C87-032,11/4/08,High,CHIN,adult,,7,FALSE,0,0,,"Mad River, California",40.45228958,-123.5088425
C87-033A,11/18/08,High,COHO,adult,IHN,25,TRUE,5,0.2,,"Trinity River, California",41.184532,-123.706795
C87-033B,11/18/08,High,CHIN,adult,IHN,13,TRUE,11,0.846153846,,"Trinity River, California",41.184532,-123.706795
C87-034,11/13/08,High,NR,adult,IHN,7,FALSE,7,1,sn Ab type 1,"Hoopa Fisheries, California",37.25510025,-119.6175232
C87-035,11/16/08,High,CHIN,adult,,8,FALSE,0,0,,"Mad River, California",40.45228958,-123.5088425
C87-036A,11/19/08,High,COHO,adult,IHN,20,TRUE,16,0.8,,"Trinity River, California",41.184532,-123.706795
C87-036B,11/19/08,High,CHIN,adult,IHN,20,TRUE,16,0.8,,"Trinity River, California",41.184532,-123.706795
C87-037,11/17/08,High,NR,adult,IHN,3,FALSE,3,1,,"Hoopa Fisheries, California",37.25510025,-119.6175232
C87-038,11/23/08,High,CHIN,adult,,20,FALSE,0,0,,"Snelling, California",37.51893997,-120.439209
C87-039,11/19/08,High,CHIN,adult,,33,FALSE,0,0,,"Mad River, California",40.45228958,-123.5088425
C87-040,11/25/08,High,COHO,adult,IHN,20,TRUE,3,0.15,,"Trinity River, California",41.184532,-123.706795
C87-041,11/25/08,High,NR,adult,IHN,2,FALSE,2,1,,"Hoopa Fisheries, California",37.25510025,-119.6175232
C87-042A,11/16/08,High,BK,adult,,45,TRUE,0,0,,"Mount Whitney Fish Hatchery, California",36.57889938,-118.2912979
C87-042B,11/16/08,High,BK,adult,,15,TRUE,0,0,,"Mount Whitney Fish Hatchery, California",36.57889938,-118.2912979
C87-043A,11/24/08,High,BN,adult,,30,TRUE,0,0,,"Owens River, California",36.47491074,-117.9472198
C87-043B,11/24/08,High,BN,adult,,25,TRUE,0,0,,"Owens River, California",36.47491074,-117.9472198
C87-044,11/30/08,High,COHO,adult,IHN,20,FALSE,2,0.1,,"Trinity River, California",41.184532,-123.706795
C87-045,12/1/08,High,COHO,adult,,29,FALSE,0,0,,"Iron Gate, California",37.25510025,-119.6175232
C87-046A,12/2/08,High,RT,adult,,10,FALSE,0,0,,"Mt Lassen -- Meadowbrook, California",33.72583008,-117.2850037
C87-046B,12/2/08,High,RT,adult,,4,FALSE,0,0,,"Mt Lassen -- Meadowbrook, California",33.72583008,-117.2850037
C87-047,12/3/08,High,COHO,adult,,20,TRUE,0,0,,"Trinity River, California",41.184532,-123.706795
C87-048A,12/7/08,High,COHO,adult,,20,FALSE,0,0,,"Warm Springs , California",37.48048019,-121.9169006
C87-048B,12/7/08,High,COHO,adult,,20,FALSE,0,0,,"Noyo River, California",39.43839264,-123.7695999
C87-049,12/7/08,High,COHO,adult,,20,TRUE,0,0,,"Trinity River, California",41.184532,-123.706795
C87-050A,12/8/08,High,BN,adult,,50,TRUE,0,0,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C87-050B,12/8/08,High,BN,adult,,20,TRUE,0,0,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C87-051,12/8/08,High,CHIN,adult,IHN,1,TRUE,1,1,sn Ab type 1,"Camp Creek, Trib of Klamath Riv., California",41.87825012,-122.8215714
C87-052A,12/9/08,High,RT,adult,,10,FALSE,0,0,,"Mt Lassen -- Jeffcoate East, California",37.25510025,-119.6175232
C87-052B,12/9/08,High,RT,adult,,4,FALSE,0,0,,"Mt Lassen -- Jeffcoate East, California",37.25510025,-119.6175232
C87-053,12/14/08,High,COHO,adult,,31,TRUE,0,0,,"Trinity River, California",41.184532,-123.706795
C87-054A,12/17/08,High,RT,adult,,10,FALSE,0,0,,"Crystal Lake Hatchery, California",39.32225037,-120.5701904
C87-054B,12/17/08,High,RT,adult,,4,FALSE,0,0,,"Crystal Lake Hatchery, California",39.32225037,-120.5701904
C87-055A,12/20/08,High,RT,fing,,12,FALSE,0,0,,"Yountville, California",38.40345001,-122.3618393
C87-055B,12/20/08,High,RT,fing,,12,FALSE,0,0,,"Yountville, California",38.40345001,-122.3618393
C87-055C,12/20/08,High,RT,fing,,12,FALSE,0,0,,"Yountville, California",38.40345001,-122.3618393
C87-056,12/22/08,High,BK,adult,,2,FALSE,0,0,,"American River Hatchery, California",37.25510025,-119.6175232
C88-001,1/5/08,High,CHIN,yearling,IHN,15,TRUE,3,0.2,sn Ab type 1,"Trinity River, California",41.184532,-123.706795
C88-002A,1/7/08,High,RT,adult,,50,TRUE,0,0,,"Hot Creek, California",37.70129013,-118.7706528
C88-002B,1/7/08,High,RT,adult,,20,TRUE,0,0,,"Hot Creek, California",37.70129013,-118.7706528
C88-003A,1/12/08,Medium,RT,adult,,10,FALSE,0,0,,"Mt Lassen -- Carl's Place, California",37.25510025,-119.6175232
C88-003B,1/12/08,Medium,RT,adult,,4,FALSE,0,0,,"Mt Lassen -- Carl's Place, California",37.25510025,-119.6175232
C88-004,1/13/08,High,NR,adult,,30,FALSE,0,0,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C88-005A,1/19/08,High,SH,adult,,20,FALSE,0,0,,"Trinity River, California",41.184532,-123.706795
C88-005B,1/19/08,High,COHO,yearling,,1,TRUE,0,0,,"Trinity River, California",41.184532,-123.706795
C88-006,1/20/08,High,Sockeye,adult,,30,TRUE,0,0,,"High Seas Salmon , California",41.301651,-123.3641663
C88-007,1/21/08,High,Sockeye,adult,,30,TRUE,0,0,,"High Seas Salmon , California",41.301651,-123.3641663
C88-008A,1/25/08,High,CHIN,yearling,IHN,11,TRUE,11,1,,"Trinity River, California",41.184532,-123.706795
C88-008B,1/25/08,High,COHO,yearling,,6,TRUE,0,0,,"Trinity River, California",41.184532,-123.706795
C88-009,1/27/08,High,NR,adult,,40,FALSE,0,0,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C88-010,1/28/08,High,SH,adult,,30,FALSE,0,0,,"Iron Gate, California",37.25510025,-119.6175232
C88-011,2/8/08,High,SH,adult,IHN,30,FALSE,11,0.366666667,,"Trinity River, California",41.184532,-123.706795
C88-012A,2/10/08,High,RT,adult,,10,FALSE,0,0,,"Mt Lassen -- Cold Springs, California",40.4872818,-121.5051727
C88-012B,2/10/08,High,RT,adult,,4,FALSE,0,0,,"Mt Lassen -- Cold Springs, California",40.4872818,-121.5051727
C88-013,2/10/08,High,SH,adult,,49,FALSE,0,0,,"Mad River, California",40.45228958,-123.5088425
C88-014,2/11/08,High,RT,adult,,32,FALSE,0,0,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C88-015,2/11/08,High,RT,adult,,20,FALSE,0,0,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C88-016,2/17/08,High,RT,fing,,60,TRUE,0,0,,"Yountville, California",38.40345001,-122.3618393
C88-017,2/22/08,High,SH,adult,,30,FALSE,0,0,,"Trinity River, California",41.184532,-123.706795
C88-018,3/2/08,High,CHIN,fing,IHN,12,TRUE,3,0.25,sn Ab type 1,"Merced River, California",37.64046097,-120.4578018
C88-019A,3/2/08,High,RT,catchable,,60,TRUE,0,0,,"Fish Springs Trout Hatchery, California",37.0737114,-118.2519379
C88-019B,3/2/08,High,RT,subcatch,,60,TRUE,0,0,,"Fish Springs Trout Hatchery, California",37.0737114,-118.2519379
C88-020,3/7/08,High,CHIN,fry,IHN,15,TRUE,3,0.2,sn Ab type 1,"Trinity River, California",41.184532,-123.706795
C88-021,3/4/08,High,RT,adult,,1,TRUE,0,0,,"Darrah Springs Hatchery, California",40.43223953,-121.9827576
C88-022A,3/15/08,High,RT,adult,,2,FALSE,0,0,,"Darrah Springs Hatchery, California",40.43223953,-121.9827576
C88-022B,3/15/08,High,RT,adult,,1,FALSE,0,0,,"Darrah Springs Hatchery, California",40.43223953,-121.9827576
C88-023,3/17/88,High,SH,adult,IHN,18,TRUE,8,0.444444444,sn Ab type 1,"Eel River , California",40.664711,-124.2885437
C88-024A,3/22/88,High,NR,fing,,12,FALSE,0,0,,"Yountville, California",38.40345001,-122.3618393
C88-024B,3/22/08,High,NR,fing,,12,FALSE,0,0,,"Yountville, California",38.40345001,-122.3618393
C88-025A,3/30/08,High,RT,adult,,50,TRUE,0,0,,"Mount Whitney Fish Hatchery, California",36.57889938,-118.2912979
C88-025B,3/30/08,High,RT,adult,,20,TRUE,0,0,,"Mount Whitney Fish Hatchery, California",36.57889938,-118.2912979
C88-026,3/31/08,High,CAT,NR,,12,TRUE,0,0,,"S & F Fisheries, California",37.25510025,-119.6175232
C88-027A,4/6/08,High,CAT,NR,,18,TRUE,0,0,,"Victor Gillespie, California",37.25510025,-119.6175232
C88-027B,4/6/08,High,CAT,NR,Ab+,18,TRUE,17,0.944444444,,"Victor Gillespie, California",37.25510025,-119.6175232
C88-028A,4/18/08,High,COHO,fing,,10,TRUE,0,0,,"Trinity River, California",41.184532,-123.706795
C88-028B,4/18/08,High,CHIN,NR,IHN,3,FALSE,3,1,sn Ab type 1,"Trinity River, California",41.184532,-123.706795
C88-029A,4/27/08,High,RT,adult,,50,TRUE,0,0,,"Junction Reservoir, California",38.33605576,-119.4776077
C88-029B,4/27/08,High,RT,adult,,20,TRUE,0,0,,"Junction Reservoir, California",38.33605576,-119.4776077
C88-030A,4/26/08,High,CC,0,,4,FALSE,0,0,Niland,"Victor Gillespie, California",37.25510025,-119.6175232
C88-030B,4/26/08,High,CC,0,Ab+,11,TRUE,8,0.727272727,Niland,"Victor Gillespie, California",37.25510025,-119.6175232
C88-031A,5/10/08,High,CT,adult,,10,FALSE,0,0,,"Heenan Lake, California",38.65074158,-119.6596603
C88-031B,5/10/08,High,CT,adult,,4,FALSE,0,0,,"Heenan Lake, California",38.65074158,-119.6596603
C88-032,5/10/08,High,SH,fing,,18,TRUE,0,0,Dry Creek,"Warm Springs , California",37.48048019,-121.9169006
C88-033,5/17/08,High,TL,NR,,40,TRUE,0,0,Idaho; Phillipines,"Noyo River, California",39.43839264,-123.7695999
C88-034A,5/25/08,High,CT,adult,CTV,10,FALSE,4,0.4,,"Heenan Lake, California",38.65074158,-119.6596603
C88-034B,5/25/08,High,CT,adult,,4,FALSE,0,0,,"Heenan Lake, California",38.65074158,-119.6596603
C88-035,5/26/08,High,CHIN,NR,,12,FALSE,0,0,Minnesota,"Yountville, California",38.40345001,-122.3618393
C88-037A,5/31/08,High,BK,NR,,12,FALSE,0,0,,"Yountville, California",38.40345001,-122.3618393
C88-037B,5/31/08,High,LT,NR,,12,FALSE,0,0,,"Yountville, California",38.40345001,-122.3618393
C88-038,6/9/08,High,SB,fing,,30,TRUE,0,0,,"Mike Freeze , California",37.25510025,-119.6175232
C88-039,6/9/08,High,COHO,fing,Cytophaga,16,TRUE,,0,,"Yountville, California",38.40345001,-122.3618393
C88-040A,6/16/08,High,GT,adult,,50,TRUE,0,0,,"Cottonwood Basin Lakes, California",37.25510025,-119.6175232
C88-040B,6/16/08,High,GT,adult,,20,TRUE,0,0,,"Cottonwood Basin Lakes, California",37.25510025,-119.6175232
C88-041,6/22/08,High,RT,NR,,60,TRUE,0,0,,"Fish Springs Trout Hatchery, California",37.0737114,-118.2519379
C88-043,6/30/08,High,CHIN,NR,,15,TRUE,0,0,,"Thermalito, California",39.51293182,-121.5893631
C88-044,7/6/08,High,RT,NR,,60,TRUE,0,0,,"Owens River, California",36.47491074,-117.9472198
C88-045,7/14/08,High,BK,NR,,30,TRUE,0,0,,"Crystal Lake Hatchery, California",39.32225037,-120.5701904
C88-046A,8/9/08,High,RT,2-3 yr,CTV,50,TRUE,1,0.02,,"Hot Creek, California",37.70129013,-118.7706528
C88-046B,8/9/08,High,RT,2-3 yr,,20,TRUE,0,0,,"Hot Creek, California",37.70129013,-118.7706528
C88-047A,8/15/08,High,BK,NR,,18,TRUE,0,0,tributary to McCloud,"Huckleberry Creek, California",37.25510025,-119.6175232
C88-047B,8/15/08,High,RT,NR,,10,TRUE,0,0,tributary to McCloud,"Huckleberry Creek, California",37.25510025,-119.6175232
C88-047C,8/15/08,High,RT,NR,,6,TRUE,0,0,tributary to McCloud,"Mud Creek, California",40.22835159,-123.4929962
C88-048,8/18/08,High,RT,NR,,30,TRUE,0,0,,"Mojave River, California",35.04673767,-116.4307632
C88-049,8/19/08,High,RT,NR,,30,TRUE,0,0,,"Mojave River, California",35.04673767,-116.4307632
C88-051,9/6/08,High,RT,fing,,60,TRUE,0,0,,"Mojave River, California",35.04673767,-116.4307632
C88-052A,9/7/08,High,RT,adult,CTV,10,FALSE,2,0.2,,"Crystal Lake Hatchery, California",39.32225037,-120.5701904
C88-052B,9/7/08,High,RT,adult,,4,FALSE,0,0,,"Crystal Lake Hatchery, California",39.32225037,-120.5701904
C88-053A,9/8/08,High,CHIN,adult,IHN,12,FALSE,12,1,,"Trinity River, California",41.184532,-123.706795
C88-053B,9/8/08,High,CHIN,adult,IHN,5,FALSE,4,0.8,,"Trinity River, California",41.184532,-123.706795
C88-053C,9/8/08,High,CHIN,adult,IHN,3,FALSE,2,0.666666667,,"Trinity River, California",41.184532,-123.706795
C88-054,9/8/08,High,RT,yearling,,60,TRUE,0,0,,"Mojave River, California",35.04673767,-116.4307632
C88-055,9/12/08,High,WB,NR,,30,TRUE,0,0,,"Ron Slay , California",37.25510025,-119.6175232
C88-056A,9/20/08,High,KOK,adult,,18,FALSE,0,0,,"Papoose Creek, California",40.79347992,-122.6929321
C88-056B,9/20/08,High,KOK,NR,,6,FALSE,0,0,,"Papoose Creek, California",40.79347992,-122.6929321
C88-057,9/22/08,High,SB,NR,,12,FALSE,0,0,,"Namakan West, California",37.25510025,-119.6175232
C88-059,9/27/08,High,CHIN,yearling,,10,TRUE,0,0,Ambrose Ponds,"Trinity River, California",41.184532,-123.706795
C88-060,10/4/08,High,CT,NR,,60,TRUE,0,0,Heenan Lk progeny,"Darrah Springs Hatchery, California",40.43223953,-121.9827576
C88-061,10/5/08,High,CHIN,NR,,10,TRUE,0,0,,"Mad River, California",40.45228958,-123.5088425
C88-062,10/7/08,High,RT,NR,Salmonicida,3,TRUE,1,0.333333333,,"Mojave River, California",35.04673767,-116.4307632
C88-063A,10/11/08,High,KOK,adult,,20,FALSE,0,0,,"Taylor Creek, California",38.93420029,-120.0561676
C88-063B,10/11/08,High,KOK,adult,,4,FALSE,0,0,,"Taylor Creek, California",38.93420029,-120.0561676
C88-064,10/11/08,High,RT,NR,,12,FALSE,0,0,,"Fillmore Trout Hatchery, California",34.39847183,-118.9133224
C88-065A,10/14/08,High,CHIN,adult,,16,FALSE,0,0,,"Iron Gate, California",37.25510025,-119.6175232
C88-065B,10/14/08,High,CHIN,adult,,4,FALSE,0,0,,"Iron Gate, California",37.25510025,-119.6175232
C88-066,10/19/08,High,KOK,adult,,30,FALSE,0,0,,"Taylor Creek, California",38.93420029,-120.0561676
C88-067A,10/20/08,High,CHIN,adult,,14,FALSE,0,0,,"Iron Gate, California",37.25510025,-119.6175232
C88-067B,10/20/08,High,CHIN,adult,,6,FALSE,0,0,,"Iron Gate, California",37.25510025,-119.6175232
C88-068,10/25/08,High,CHIN,adult,,133,FALSE,0,0,,"Iron Gate, California",37.25510025,-119.6175232
C88-069,10/26/08,High,CHIN,adult,,26,TRUE,0,0,,"Lake Almanor, California",40.35295868,-121.2205582
C88-070,11/1/08,High,KOK,adult,,30,FALSE,0,0,,"Taylor Creek, California",38.93420029,-120.0561676
C88-071A,11/2/08,High,BN,adult,CTV,10,FALSE,10,1,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C88-071B,11/2/08,High,BN,adult,CTV,4,FALSE,4,1,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C88-072,11/3/08,High,CHIN,adult,IHN,20,FALSE,12,0.6,sn Ab type 1,"Trinity River, California",41.184532,-123.706795
C88-073,11/3/08,High,RT,fing,,10,TRUE,0,0,,"Mojave River, California",35.04673767,-116.4307632
C88-074,11/7/08,High,CHIN,adult,,9,FALSE,0,0,,"Merced River, California",37.64046097,-120.4578018
C88-075,11/7/08,High,NR,NR,,2,FALSE,0,0,,"Horse Linto, California",37.25510025,-119.6175232
C88-076A,11/9/08,High,RT,adult,CTV,29,FALSE,2,0.068965517,,"Mt Lassen -- Meadowbrook, California",33.72583008,-117.2850037
C88-076B,11/9/08,High,RT,adult,,12,FALSE,0,0,,"Mt Lassen -- Meadowbrook, California",33.72583008,-117.2850037
C88-076C,11/9/08,High,RT,adult,,18,FALSE,0,0,,"Mt Lassen -- Meadowbrook, California",33.72583008,-117.2850037
C88-077,11/10/08,High,CHIN,adult,,10,FALSE,0,0,,"Lake Almanor, California",40.35295868,-121.2205582
C88-079A,11/14/08,High,CHIN,adult,IHN,11,FALSE,8,0.727272727,,"Trinity River, California",41.184532,-123.706795
C88-079B,11/14/08,High,COHO,adult,IHN,20,TRUE,8,0.4,7/20 before iodine wipe; 1/20 after,"Trinity River, California",41.184532,-123.706795
C88-079C,11/14/08,High,COHO,adult,,20,TRUE,0,0,,"Trinity River, California",41.184532,-123.706795
C88-080,11/14/08,High,NR,adult,,25,FALSE,0,0,,"Merced River, California",37.64046097,-120.4578018
C88-081A,11/15/08,High,BK,adult,CTV,10,FALSE,8,0.8,,"Crystal Lake Hatchery, California",39.32225037,-120.5701904
C88-081B,11/15/08,High,BK,adult,CTV,4,FALSE,3,0.75,,"Crystal Lake Hatchery, California",39.32225037,-120.5701904
C88-082,11/16/08,High,CAT,NR,Ab+,89,TRUE,24,0.269662921,,"George Widmann, California",37.25510025,-119.6175232
C88-083,11/15/08,High,CHIN,adult,,8,FALSE,0,0,,"Mad River, California",40.45228958,-123.5088425
C88-084,11/16/08,High,CHIN,adult,,4,TRUE,0,0,,"Camp Creek, Trib of Klamath Riv., California",41.87825012,-122.8215714
C88-085,11/18/08,High,RT,catchable,,30,TRUE,0,0,,"Dennis Blackburn, California",37.25510025,-119.6175232
C88-086A,11/30/08,High,NR,adult,CTV,30,FALSE,2,0.066666667,,"Mt Lassen -- Jeffcoate East, California",37.25510025,-119.6175232
C88-086B,11/30/08,High,NR,adult,,12,FALSE,0,0,,"Mt Lassen -- Jeffcoate East, California",37.25510025,-119.6175232
C88-086C,11/30/08,High,NR,adult,,18,FALSE,0,0,,"Mt Lassen -- Jeffcoate East, California",37.25510025,-119.6175232
C88-087A,12/1/08,High,BN,adult,CTV,10,FALSE,10,1,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C88-087B,12/1/08,High,BN,adult,CTV,11,FALSE,1,0.090909091,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C88-088,12/1/08,High,COHO,adult,,24,FALSE,0,0,,"Iron Gate, California",37.25510025,-119.6175232
C88-089,12/4/08,High,NR,NR,,30,TRUE,0,0,,"Sycan Springs, California",33.51821136,-87.0091095
C88-090,12/6/08,High,CHIN,adult,,5,FALSE,0,0,,"Mad River, California",40.45228958,-123.5088425
C88-091A,12/7/08,High,RT,adult,CTV,50,TRUE,2,0.04,,"Hot Creek, California",37.70129013,-118.7706528
C88-091B,12/7/08,High,RT,adult,,20,TRUE,0,0,,"Hot Creek, California",37.70129013,-118.7706528
C88-092A,12/14/08,Medium,RT,adult,CTV,10,FALSE,3,0.3,,"Mt Lassen -- Carl's Place, California",37.25510025,-119.6175232
C88-092B,12/14/08,Medium,RT,adult,,4,FALSE,0,0,,"Mt Lassen -- Carl's Place, California",37.25510025,-119.6175232
C88-093A,12/13/08,High,RT,adult,CTV,10,FALSE,10,1,,"Crystal Lake Hatchery, California",39.32225037,-120.5701904
C88-093B,12/13/08,High,RT,adult,CTV,4,FALSE,2,0.5,,"Crystal Lake Hatchery, California",39.32225037,-120.5701904
C88-094,12/20/08,High,BK,fry,,4,FALSE,0,0,,"Crystal Lake Hatchery, California",39.32225037,-120.5701904
C89-001,1/4/08,High,RT,adult,,12,FALSE,0,0,,"San Joaquin , California",36.74862289,-120.5013504
C89-004A,1/10/08,High,RT,adult,CTV,10,FALSE,1,0.1,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C89-004B,1/10/08,High,RT,adult,CTV,4,FALSE,1,0.25,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C89-005,1/10/08,High,RT,adult,CTV,20,FALSE,9,0.45,,"Crystal Lake Hatchery, California",39.32225037,-120.5701904
C89-006A,1/11/08,High,RT,adult,CTV,10,FALSE,1,0.1,,"Mt Lassen -- Lucas Site, California",37.25510025,-119.6175232
C89-006B,1/11/08,High,RT,adult,CTV,4,FALSE,1,0.25,,"Mt Lassen -- Lucas Site, California",37.25510025,-119.6175232
C89-007A,1/19/08,High,CC,adult,,10,TRUE,0,0,,"HSU Hatchery, California",37.25510025,-119.6175232
C89-007B,1/19/08,High,CC,adult,,10,TRUE,0,0,,"HSU Hatchery, California",37.25510025,-119.6175232
C89-008,1/19/09,High,RT,NR,,1,TRUE,0,0,,"Mojave River, California",35.04673767,-116.4307632
C89-009,1/19/09,High,CAT,NR,,4,FALSE,0,0,,"Mojave River, California",35.04673767,-116.4307632
C89-010A,1/25/09,High,BN,fry,,60,TRUE,3,0.05,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C89-010B,1/25/09,High,BK,fry,,60,TRUE,0,0,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C89-011A,1/26/09,High,RT,NR,,10,FALSE,3,0.3,,"Mt Lassen -- Cold Springs, California",40.4872818,-121.5051727
C89-011B,1/26/09,High,RT,NR,,4,FALSE,0,0,,"Mt Lassen -- Cold Springs, California",40.4872818,-121.5051727
C89-012,1/30/09,High,RT,subcatch,,60,TRUE,0,0,,"Black Rock Hatchery, California",37.25510025,-119.6175232
C89-013,2/1/09,High,RT,NR,,10,TRUE,0,0,,"Mojave River, California",35.04673767,-116.4307632
C89-014,2/1/09,High,NR,adult,,20,FALSE,2,0.1,,"Darrah Springs Hatchery, California",40.43223953,-121.9827576
C89-015,2/2/09,High,RT,NR,,20,TRUE,0,0,,"Pine Creek, California",37.90076828,-121.9925766
C89-016,2/2/09,High,SH,adult,,13,FALSE,0,0,,"Iron Gate, California",37.25510025,-119.6175232
C89-017A,2/2/09,High,RT,adult,,10,FALSE,4,0.4,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
C89-017B,2/2/09,High,RT,NR,,4,FALSE,1,0.25,,"Mount Shasta Fish Hatchery, California",41.31306839,-122.312561
